Date,Total Deaths - Rolling 14 Day Total,Total Deaths
2020-03-01,,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,0,0
2020-03-18,0,0
2020-03-19,0,0
2020-03-20,0,0
2020-03-21,0,0
2020-03-22,0,0
2020-03-23,0,0
2020-03-24,0,1
2020-03-25,1,0
2020-03-26,1,1
2020-03-27,2,1
2020-03-28,3,1
2020-03-29,4,1
2020-03-30,5,1
2020-03-31,6,4
2020-04-01,10,2
2020-04-02,12,1
2020-04-03,13,5
2020-04-04,18,4
2020-04-05,22,4
2020-04-06,26,0
2020-04-07,26,2
2020-04-08,27,3
2020-04-09,30,5
2020-04-10,34,3
2020-04-11,36,4
2020-04-12,39,4
2020-04-13,42,6
2020-04-14,47,3
2020-04-15,46,6
2020-04-16,50,5
2020-04-17,54,8
2020-04-18,57,5
2020-04-19,58,8
2020-04-20,62,7
2020-04-21,69,5
2020-04-22,72,7
2020-04-23,76,10
2020-04-24,81,5
2020-04-25,83,6
2020-04-26,85,8
2020-04-27,89,10
2020-04-28,93,12
2020-04-29,102,13
2020-04-30,109,9
2020-05-01,113,11
2020-05-02,116,5
2020-05-03,116,14
2020-05-04,122,16
2020-05-05,131,11
2020-05-06,137,8
2020-05-07,138,12
2020-05-08,140,10
2020-05-09,145,10
2020-05-10,149,16
2020-05-11,157,13
2020-05-12,160,10
2020-05-13,158,14
2020-05-14,159,13
2020-05-15,163,6
2020-05-16,158,5
2020-05-17,158,5
2020-05-18,149,9
2020-05-19,142,2
2020-05-20,133,1
