Date,Total Deaths - 14 Day Rolling Total,Total Deaths - Daily Total
2020-03-01,,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,0,0
2020-03-18,0,0
2020-03-19,0,0
2020-03-20,0,0
2020-03-21,0,0
2020-03-22,0,0
2020-03-23,0,0
2020-03-24,0,1
2020-03-25,1,0
2020-03-26,1,1
2020-03-27,2,1
2020-03-28,3,1
2020-03-29,4,1
2020-03-30,5,1
2020-03-31,6,4
2020-04-01,10,2
2020-04-02,12,1
2020-04-03,13,5
2020-04-04,18,3
2020-04-05,21,5
2020-04-06,26,0
2020-04-07,26,2
2020-04-08,27,3
2020-04-09,30,5
2020-04-10,34,3
2020-04-11,36,4
2020-04-12,39,4
2020-04-13,42,6
2020-04-14,47,3
2020-04-15,46,6
2020-04-16,50,5
2020-04-17,54,8
2020-04-18,57,5
2020-04-19,59,8
2020-04-20,62,7
2020-04-21,69,6
2020-04-22,73,7
2020-04-23,77,10
2020-04-24,82,5
2020-04-25,84,6
2020-04-26,86,8
2020-04-27,90,10
2020-04-28,94,12
2020-04-29,103,13
2020-04-30,110,9
2020-05-01,114,11
2020-05-02,117,5
2020-05-03,117,15
2020-05-04,124,17
2020-05-05,134,10
2020-05-06,138,9
2020-05-07,140,13
2020-05-08,143,11
2020-05-09,149,13
2020-05-10,156,18
2020-05-11,166,15
2020-05-12,171,13
2020-05-13,172,14
2020-05-14,173,17
2020-05-15,181,6
2020-05-16,176,11
2020-05-17,182,11
2020-05-18,178,16
2020-05-19,177,18
2020-05-20,185,12
2020-05-21,188,10
2020-05-22,185,19
2020-05-23,193,8
2020-05-24,188,19
2020-05-25,189,10
2020-05-26,184,13
2020-05-27,184,14
2020-05-28,184,11
2020-05-29,178,12
2020-05-30,184,5
2020-05-31,178,11
2020-06-01,178,10
2020-06-02,172,12
2020-06-03,166,10
2020-06-04,164,8
2020-06-05,162,10
2020-06-06,153,8
2020-06-07,153,7
2020-06-08,141,8
2020-06-09,139,4
2020-06-10,130,7
2020-06-11,123,2
2020-06-12,114,5
2020-06-13,107,5
2020-06-14,107,5
2020-06-15,101,8
2020-06-16,99,4
2020-06-17,91,3
2020-06-18,84,3
2020-06-19,79,6
2020-06-20,75,4
2020-06-21,71,0
2020-06-22,64,2
2020-06-23,58,4
2020-06-24,58,0
2020-06-25,51,4
2020-06-26,53,8
2020-06-27,56,2
2020-06-28,53,4
2020-06-29,52,0
2020-06-30,44,1
2020-07-01,41,3
2020-07-02,41,3
2020-07-03,41,9
2020-07-04,44,1
2020-07-05,41,3
2020-07-06,44,4
2020-07-07,46,4
2020-07-08,46,4
2020-07-09,50,2
2020-07-10,48,5
2020-07-11,45,6
2020-07-12,49,6
2020-07-13,51,7
2020-07-14,58,5
2020-07-15,62,6
2020-07-16,65,5
2020-07-17,67,6
2020-07-18,64,5
2020-07-19,68,3
2020-07-20,68,8
2020-07-21,72,9
2020-07-22,77,7
2020-07-23,80,7
2020-07-24,85,6
2020-07-25,86,5
2020-07-26,85,5
2020-07-27,84,14
2020-07-28,91,7
2020-07-29,93,5
2020-07-30,92,7
2020-07-31,94,3
2020-08-01,91,7
2020-08-02,93,10
2020-08-03,100,7
2020-08-04,99,9
2020-08-05,99,7
2020-08-06,99,8
2020-08-07,100,11
2020-08-08,105,8
2020-08-09,108,7
2020-08-10,110,7
2020-08-11,103,9
2020-08-12,105,4
2020-08-13,104,11
2020-08-14,108,10
2020-08-15,115,4
2020-08-16,112,5
2020-08-17,107,9
2020-08-18,109,6
2020-08-19,106,4
2020-08-20,103,15
2020-08-21,110,10
2020-08-22,109,7
2020-08-23,108,11
2020-08-24,112,5
2020-08-25,110,11
2020-08-26,112,6
2020-08-27,114,12
2020-08-28,115,12
2020-08-29,117,11
2020-08-30,124,6
2020-08-31,125,8
2020-09-01,124,9
2020-09-02,127,4
2020-09-03,127,8
2020-09-04,120,3
2020-09-05,113,4
2020-09-06,110,3
2020-09-07,102,5
2020-09-08,102,0
2020-09-09,91,0
