EventDateOfDeath,Total Deaths - Rolling 14 Day Total,Total Deaths - Daily Total
2020-03-01,,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,0,0
2020-03-18,0,0
2020-03-19,0,0
2020-03-20,0,0
2020-03-21,0,0
2020-03-22,0,0
2020-03-23,0,0
2020-03-24,0,1
2020-03-25,1,0
2020-03-26,1,1
2020-03-27,2,2
2020-03-28,4,1
2020-03-29,5,1
2020-03-30,6,1
2020-03-31,7,4
2020-04-01,11,2
2020-04-02,13,1
2020-04-03,14,5
2020-04-04,19,3
2020-04-05,22,5
2020-04-06,27,0
2020-04-07,27,2
2020-04-08,28,3
2020-04-09,31,5
2020-04-10,35,3
2020-04-11,36,4
2020-04-12,39,4
2020-04-13,42,6
2020-04-14,47,3
2020-04-15,46,6
2020-04-16,50,5
2020-04-17,54,7
2020-04-18,56,5
2020-04-19,58,8
2020-04-20,61,7
2020-04-21,68,6
2020-04-22,72,7
2020-04-23,76,11
2020-04-24,82,5
2020-04-25,84,7
2020-04-26,87,8
2020-04-27,91,9
2020-04-28,94,11
2020-04-29,102,13
2020-04-30,109,9
2020-05-01,113,11
2020-05-02,117,6
2020-05-03,118,14
2020-05-04,124,18
2020-05-05,135,10
2020-05-06,139,9
2020-05-07,141,12
2020-05-08,142,11
2020-05-09,148,13
2020-05-10,154,17
2020-05-11,163,14
2020-05-12,168,14
2020-05-13,171,13
2020-05-14,171,17
2020-05-15,179,7
2020-05-16,175,11
2020-05-17,180,11
2020-05-18,177,16
2020-05-19,175,17
2020-05-20,182,13
2020-05-21,186,11
2020-05-22,185,19
2020-05-23,193,7
2020-05-24,187,20
2020-05-25,190,10
2020-05-26,186,11
2020-05-27,183,13
2020-05-28,183,10
2020-05-29,176,12
2020-05-30,181,6
2020-05-31,176,10
2020-06-01,175,7
2020-06-02,166,12
2020-06-03,161,10
2020-06-04,158,8
2020-06-05,155,10
2020-06-06,146,8
2020-06-07,147,7
2020-06-08,134,8
2020-06-09,132,3
2020-06-10,124,8
2020-06-11,119,2
2020-06-12,111,5
2020-06-13,104,5
2020-06-14,103,5
2020-06-15,98,9
2020-06-16,100,4
2020-06-17,92,3
2020-06-18,85,2
2020-06-19,79,6
2020-06-20,75,3
2020-06-21,70,0
2020-06-22,63,2
2020-06-23,57,4
2020-06-24,58,0
2020-06-25,50,4
2020-06-26,52,8
2020-06-27,55,2
2020-06-28,52,4
2020-06-29,51,0
2020-06-30,42,1
2020-07-01,39,4
2020-07-02,40,3
2020-07-03,41,9
2020-07-04,44,1
2020-07-05,42,3
2020-07-06,45,4
2020-07-07,47,3
2020-07-08,46,4
2020-07-09,50,2
2020-07-10,48,6
2020-07-11,46,6
2020-07-12,50,5
2020-07-13,51,7
2020-07-14,58,4
2020-07-15,61,6
2020-07-16,63,5
2020-07-17,65,7
2020-07-18,63,6
2020-07-19,68,3
2020-07-20,68,9
2020-07-21,73,9
2020-07-22,79,8
2020-07-23,83,7
2020-07-24,88,6
2020-07-25,88,6
2020-07-26,88,5
2020-07-27,88,13
2020-07-28,94,8
2020-07-29,98,6
2020-07-30,98,7
2020-07-31,100,3
2020-08-01,96,6
2020-08-02,96,8
2020-08-03,101,8
2020-08-04,100,9
2020-08-05,100,7
2020-08-06,99,6
2020-08-07,98,11
2020-08-08,103,7
2020-08-09,104,6
2020-08-10,105,7
2020-08-11,99,10
2020-08-12,101,3
2020-08-13,98,13
2020-08-14,104,10
2020-08-15,111,5
2020-08-16,110,5
2020-08-17,107,9
2020-08-18,108,9
2020-08-19,108,4
2020-08-20,105,17
2020-08-21,116,11
2020-08-22,116,10
2020-08-23,119,12
2020-08-24,125,6
2020-08-25,124,11
2020-08-26,125,9
2020-08-27,131,12
2020-08-28,130,11
2020-08-29,131,12
2020-08-30,138,6
2020-08-31,139,10
2020-09-01,140,10
2020-09-02,141,5
2020-09-03,142,14
2020-09-04,139,10
2020-09-05,138,6
2020-09-06,134,8
2020-09-07,130,13
2020-09-08,137,11
2020-09-09,137,9
2020-09-10,137,10
2020-09-11,135,6
2020-09-12,130,4
2020-09-13,122,5
2020-09-14,121,8
2020-09-15,119,4
2020-09-16,113,8
2020-09-17,116,9
2020-09-18,111,6
2020-09-19,107,9
2020-09-20,110,5
2020-09-21,107,4
2020-09-22,98,6
2020-09-23,93,13
2020-09-24,97,11
2020-09-25,98,12
2020-09-26,104,12
2020-09-27,112,10
2020-09-28,117,10
2020-09-29,119,11
2020-09-30,126,12
2020-10-01,130,14
2020-10-02,135,10
2020-10-03,139,17
2020-10-04,147,9
2020-10-05,151,17
2020-10-06,164,7
2020-10-07,165,22
2020-10-08,174,16
2020-10-09,179,23
2020-10-10,190,11
2020-10-11,189,15
2020-10-12,194,18
2020-10-13,202,6
2020-10-14,197,17
2020-10-15,202,20
2020-10-16,208,21
2020-10-17,219,20
2020-10-18,222,11
2020-10-19,224,20
2020-10-20,227,27
2020-10-21,247,16
2020-10-22,241,24
2020-10-23,249,17
2020-10-24,243,14
2020-10-25,246,16
2020-10-26,247,14
2020-10-27,243,12
2020-10-28,249,21
2020-10-29,253,22
2020-10-30,255,22
2020-10-31,256,24
2020-11-01,260,33
2020-11-02,282,40
2020-11-03,302,28
2020-11-04,303,30
2020-11-05,317,54
2020-11-06,347,39
2020-11-07,369,33
2020-11-08,388,47
2020-11-09,419,36
2020-11-10,441,45
2020-11-11,474,40
2020-11-12,493,64
2020-11-13,535,37
2020-11-14,550,39
2020-11-15,565,50
2020-11-16,582,49
2020-11-17,591,60
2020-11-18,623,61
2020-11-19,654,75
2020-11-20,675,62
2020-11-21,698,61
2020-11-22,726,51
2020-11-23,730,61
2020-11-24,755,38
2020-11-25,748,64
2020-11-26,772,64
2020-11-27,772,60
2020-11-28,795,62
2020-11-29,818,54
2020-11-30,822,71
2020-12-01,844,62
2020-12-02,846,55
2020-12-03,840,58
2020-12-04,823,55
2020-12-05,816,54
2020-12-06,809,52
2020-12-07,810,49
2020-12-08,798,55
2020-12-09,815,50
2020-12-10,801,36
2020-12-11,773,44
2020-12-12,757,46
2020-12-13,741,34
2020-12-14,721,40
2020-12-15,690,30
2020-12-16,658,48
2020-12-17,651,42
2020-12-18,635,26
2020-12-19,606,35
2020-12-20,587,18
2020-12-21,553,41
2020-12-22,545,33
2020-12-23,523,33
2020-12-24,506,33
2020-12-25,503,36
2020-12-26,495,25
2020-12-27,474,35
2020-12-28,475,28
2020-12-29,463,19
2020-12-30,452,27
2020-12-31,431,23
2021-01-01,412,28
2021-01-02,414,33
2021-01-03,412,23
2021-01-04,417,23
2021-01-05,399,29
2021-01-06,395,33
2021-01-07,395,29
2021-01-08,391,34
2021-01-09,389,39
2021-01-10,403,33
2021-01-11,401,29
2021-01-12,402,25
2021-01-13,408,20
2021-01-14,401,23
2021-01-15,401,14
2021-01-16,387,25
2021-01-17,379,18
2021-01-18,374,24
2021-01-19,375,14
2021-01-20,360,15
2021-01-21,342,16
2021-01-22,329,26
2021-01-23,321,25
2021-01-24,307,20
2021-01-25,294,15
2021-01-26,280,10
2021-01-27,265,23
2021-01-28,268,22
2021-01-29,267,13
2021-01-30,266,14
2021-01-31,255,15
2021-02-01,252,12
2021-02-02,240,13
2021-02-03,239,12
2021-02-04,236,14
2021-02-05,234,13
2021-02-06,221,16
2021-02-07,212,10
2021-02-08,202,13
2021-02-09,200,5
2021-02-10,195,7
2021-02-11,179,12
2021-02-12,169,11
2021-02-13,167,13
2021-02-14,166,9
2021-02-15,160,6
2021-02-16,154,18
2021-02-17,159,8
2021-02-18,155,9
2021-02-19,150,9
2021-02-20,146,5
2021-02-21,135,9
2021-02-22,134,5
2021-02-23,126,4
2021-02-24,125,6
2021-02-25,124,8
2021-02-26,120,4
2021-02-27,113,11
2021-02-28,111,7
2021-03-01,109,8
2021-03-02,111,2
2021-03-03,95,2
2021-03-04,89,3
2021-03-05,83,7
2021-03-06,81,9
2021-03-07,85,3
2021-03-08,79,5
2021-03-09,79,4
2021-03-10,79,5
2021-03-11,78,2
2021-03-12,72,4
2021-03-13,72,6
2021-03-14,67,3
2021-03-15,63,2
2021-03-16,57,2
2021-03-17,57,1
2021-03-18,56,3
2021-03-19,56,3
2021-03-20,52,2
2021-03-21,45,0
2021-03-22,42,0
2021-03-23,37,0
2021-03-24,33,1
2021-03-25,29,0
2021-03-26,27,0
2021-03-27,23,0
2021-03-28,17,0
2021-03-29,14,0
